SourceType,Course,Date,LessonOrLab,GciScheduleNotes,HomeSchoolNoSchool,SharedDateLabel
SharedDate,All Courses,3/30/2026,,,,2026-03-30 to 2026-04-03: Spring Break (all schools)
SharedDate,All Courses,4/16/2026,,,,2026-04-16: Spring Advisory (No GCI)
SharedDate,All Courses,4/17/2026,,,,2026-04-17: Virtual Day
SharedDate,All Courses,4/18/2026,,,,2026-04-18: NCWIT Award Ceremony
SharedDate,All Courses,5/22/2026,,,,5/22/2026: No GCI
SharedDate,All Courses,5/25/2026,,,,2026-05-25 (Memorial Day)
CourseRow,Intro to Computer Hardware,3/5/2026,Computer Design Presentations,Reference day; classwork catch-up; Network Cable data,Reference row,
CourseRow,Intro to Computer Hardware,3/6/2026,Computer Design Presentations,Reference day; classwork catch-up; Network Cable data; Cable practice and cord due,Reference row,
CourseRow,Intro to Computer Hardware,3/9/2026,Teamwork,Base Camp (Computer Hardware),None,
CourseRow,Intro to Computer Hardware,3/10/2026,Computer Design Presentations,Classwork catch-up; Network Cable data; Teamwork assignment due (all hardware classes),Powers Catholic High School,
CourseRow,Intro to Computer Hardware,3/11/2026,Classwork Catch-up and Network Cable Data,Classwork catch-up; Network Cable data,None,
CourseRow,Intro to Computer Hardware,3/12/2026,Computer Design Presentations,Classwork catch-up; Network Cable data,None,
CourseRow,Intro to Computer Hardware,3/13/2026,Certification - Network Fundamentals,Cable practice and cord due; Certification - Network Fundamentals due,Lakeville High School; Swartz Creek Community Schools,
CourseRow,Intro to Computer Hardware,3/16/2026,,First week of new Computer Hardware teacher,Madison Academy,
CourseRow,Intro to Computer Hardware,3/17/2026,,,Madison Academy,
CourseRow,Intro to Computer Hardware,3/18/2026,,MP3 work submission deadline,Beecher High School; Madison Academy; Southwestern Academy,
CourseRow,Intro to Computer Hardware,3/19/2026,Helpdesk Lab - Computer Build,Computer build lab work session,Madison Academy,
CourseRow,Intro to Computer Hardware,3/20/2026,Helpdesk Lab - Computer Build,Computer build lab work session; Cable practice and cord due,Madison Academy,
CourseRow,Intro to Computer Hardware,3/23/2026,Helpdesk Lab - Computer Build,Computer build lab work session,Powers Catholic High School,
CourseRow,Intro to Computer Hardware,3/24/2026,Helpdesk Lab - Computer Build,Computer build lab work session,Southwestern Academy,
CourseRow,Intro to Computer Hardware,3/25/2026,Helpdesk Lab - Computer Build,Computer build lab work session,None,
CourseRow,Intro to Computer Hardware,3/26/2026,Helpdesk Lab - Computer Build,Computer build lab work session,None,
CourseRow,Intro to Computer Hardware,3/27/2026,Helpdesk Lab - Computer Build,Computer build lab wrap-up; Cable practice and cord due,Bentley Community Schools; Powers Catholic High School,
CourseRow,Intro to Computer Hardware,3/30/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Hardware,3/31/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Hardware,4/1/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Hardware,4/2/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Hardware,4/3/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Hardware,4/6/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,Beecher High School; Bentley Community Schools; Davison Community Schools; Lakeville High School,
CourseRow,Intro to Computer Hardware,4/7/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,None,
CourseRow,Intro to Computer Hardware,4/8/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,Flushing Community Schools,
CourseRow,Intro to Computer Hardware,4/9/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,None,
CourseRow,Intro to Computer Hardware,4/10/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,None,
CourseRow,Intro to Computer Hardware,4/13/2026,Helpdesk Lab - 3D Printing,2nd session 5-day lab,None,
CourseRow,Intro to Computer Hardware,4/14/2026,Helpdesk Lab - 3D Printing,2nd session 5-day lab,None,
CourseRow,Intro to Computer Hardware,4/15/2026,Helpdesk Lab - 3D Printing,2nd session 5-day lab,None,
CourseRow,Intro to Computer Hardware,4/16/2026,,Spring Advisory (No GCI),None,
CourseRow,Intro to Computer Hardware,4/17/2026,,Virtual Day; NCWIT Award Ceremony on 2026-04-18,Genesee Early College; Montrose Community Schools,
CourseRow,Intro to Computer Hardware,4/20/2026,Helpdesk Lab - 3D Printing,2nd session 5-day lab (continued after Spring Advisory/Virtual Day),None,
CourseRow,Intro to Computer Hardware,4/21/2026,Helpdesk Lab - 3D Printing,2nd session 5-day lab (continued after Spring Advisory/Virtual Day); Teamwork assignment due (2nd session),None,
CourseRow,Intro to Computer Hardware,4/22/2026,,,None,
CourseRow,Intro to Computer Hardware,4/23/2026,,,None,
CourseRow,Intro to Computer Hardware,4/24/2026,,,None,
CourseRow,Intro to Computer Hardware,4/27/2026,,,None,
CourseRow,Intro to Computer Hardware,4/28/2026,,,None,
CourseRow,Intro to Computer Hardware,4/29/2026,,,None,
CourseRow,Intro to Computer Hardware,4/30/2026,,,None,
CourseRow,Intro to Computer Hardware,5/1/2026,,,None,
CourseRow,Intro to Computer Hardware,5/4/2026,,,None,
CourseRow,Intro to Computer Hardware,5/5/2026,,,Grand Blanc Community Schools,
CourseRow,Intro to Computer Hardware,5/6/2026,,,None,
CourseRow,Intro to Computer Hardware,5/7/2026,,,None,
CourseRow,Intro to Computer Hardware,5/8/2026,,,None,
CourseRow,Intro to Computer Hardware,5/11/2026,,,None,
CourseRow,Intro to Computer Hardware,5/12/2026,,,None,
CourseRow,Intro to Computer Hardware,5/13/2026,,,None,
CourseRow,Intro to Computer Hardware,5/14/2026,,,None,
CourseRow,Intro to Computer Hardware,5/15/2026,,,None,
CourseRow,Intro to Computer Hardware,5/18/2026,,,None,
CourseRow,Intro to Computer Hardware,5/19/2026,,,None,
CourseRow,Intro to Computer Hardware,5/20/2026,,,None,
CourseRow,Intro to Computer Hardware,5/21/2026,,,None,
CourseRow,Intro to Computer Hardware,5/22/2026,,No GCI (No School),None,
CourseRow,Intro to Computer Hardware,5/25/2026,,No GCI (No School - Memorial Day),Memorial Day (No School),
CourseRow,Intro to Computer Hardware,5/26/2026,,,None,
CourseRow,Intro to Computer Hardware,5/27/2026,,,None,
CourseRow,Intro to Computer Hardware,5/28/2026,,,None,
CourseRow,Intro to Computer Hardware,5/29/2026,,,None,
CourseRow,Intro to Computer Hardware,6/1/2026,,,None,
CourseRow,Intro to Computer Hardware,6/2/2026,,,None,
CourseRow,Intro to Computer Hardware,6/3/2026,,,None,
CourseRow,Intro to Computer Hardware,6/4/2026,,,None,
CourseRow,Intro to Computer Hardware,6/5/2026,,,None,
CourseRow,Intro to Computer Hardware,6/8/2026,,,None,
CourseRow,Intro to Computer Hardware,6/9/2026,,,None,
CourseRow,Intro to Computer Science,3/5/2026,Problem Set Work Time,Reference day; daily problem set work time,Reference row,
CourseRow,Intro to Computer Science,3/6/2026,Problem Set Due Date,Session 1: Problem Set 7 due; Session 2: Problem Set 6 due,Reference row,
CourseRow,Intro to Computer Science,3/9/2026,Teamwork,Base Camp (1st and 3rd session Computer Science),None,
CourseRow,Intro to Computer Science,3/10/2026,Problem Set Work Time,Daily problem set work time until due date; Teamwork assignment due (1st session),Powers Catholic High School,
CourseRow,Intro to Computer Science,3/11/2026,Problem Set Work Time,Daily problem set work time until due date,None,
CourseRow,Intro to Computer Science,3/12/2026,Problem Set Work Time,Daily problem set work time until due date,None,
CourseRow,Intro to Computer Science,3/13/2026,Digital Forensics,2nd Session lesson,Lakeville High School; Swartz Creek Community Schools,
CourseRow,Intro to Computer Science,3/16/2026,Forensic Case 1: Logs,2nd Session lesson,Madison Academy,
CourseRow,Intro to Computer Science,3/17/2026,Forensic Case 2: File Metadata,2nd Session lesson,Madison Academy,
CourseRow,Intro to Computer Science,3/18/2026,Forensic Case 3: Exif Data,2nd Session lesson; MP3 work submission deadline,Beecher High School; Madison Academy; Southwestern Academy,
CourseRow,Intro to Computer Science,3/19/2026,,,Madison Academy,
CourseRow,Intro to Computer Science,3/20/2026,,,Madison Academy,
CourseRow,Intro to Computer Science,3/23/2026,,,Powers Catholic High School,
CourseRow,Intro to Computer Science,3/24/2026,,,Southwestern Academy,
CourseRow,Intro to Computer Science,3/25/2026,,,None,
CourseRow,Intro to Computer Science,3/26/2026,,,None,
CourseRow,Intro to Computer Science,3/27/2026,Midterm,Both sessions midterm,Bentley Community Schools; Powers Catholic High School,
CourseRow,Intro to Computer Science,3/30/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Science,3/31/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Science,4/1/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Science,4/2/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Science,4/3/2026,,No GCI (No School - Spring Break),All schools (Spring Break),
CourseRow,Intro to Computer Science,4/6/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,Beecher High School; Bentley Community Schools; Davison Community Schools; Lakeville High School,
CourseRow,Intro to Computer Science,4/7/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,None,
CourseRow,Intro to Computer Science,4/8/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,Flushing Community Schools,
CourseRow,Intro to Computer Science,4/9/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,None,
CourseRow,Intro to Computer Science,4/10/2026,Helpdesk Lab - 3D Printing,1st session 5-day lab,None,
CourseRow,Intro to Computer Science,4/13/2026,Network Administrator,,None,
CourseRow,Intro to Computer Science,4/14/2026,Protocols and Standards,,None,
CourseRow,Intro to Computer Science,4/15/2026,Private Networks,,None,
CourseRow,Intro to Computer Science,4/16/2026,Mobile Devices,Spring Advisory (No GCI),None,
CourseRow,Intro to Computer Science,4/17/2026,Access Control; Advanced Networking Quiz,Virtual Day; NCWIT Award Ceremony on 2026-04-18,Genesee Early College; Montrose Community Schools,
CourseRow,Intro to Computer Science,4/20/2026,Teamwork,Base Camp (2nd session Computer Science),None,
CourseRow,Intro to Computer Science,4/21/2026,Network Administrator,2nd Session lesson; Teamwork assignment due (2nd session),None,
CourseRow,Intro to Computer Science,4/22/2026,Protocols and Standards,2nd Session lesson,None,
CourseRow,Intro to Computer Science,4/23/2026,Private Networks,2nd Session lesson,None,
CourseRow,Intro to Computer Science,4/24/2026,Mobile Devices,2nd Session lesson,None,
CourseRow,Intro to Computer Science,4/27/2026,Access Control,2nd Session lesson,None,
CourseRow,Intro to Computer Science,4/28/2026,Advanced Networking Quiz,2nd Session quiz,None,
CourseRow,Intro to Computer Science,4/29/2026,,,None,
CourseRow,Intro to Computer Science,4/30/2026,,,None,
CourseRow,Intro to Computer Science,5/1/2026,,,Bendle Public Schools; Fenton Area Public Schools; Lakeville High School,
CourseRow,Intro to Computer Science,5/4/2026,,,None,
CourseRow,Intro to Computer Science,5/5/2026,,,Grand Blanc Community Schools,
CourseRow,Intro to Computer Science,5/6/2026,,,None,
CourseRow,Intro to Computer Science,5/7/2026,,,None,
CourseRow,Intro to Computer Science,5/8/2026,,,Swartz Creek Community Schools,
CourseRow,Intro to Computer Science,5/11/2026,,,None,
CourseRow,Intro to Computer Science,5/12/2026,,,None,
CourseRow,Intro to Computer Science,5/13/2026,,,None,
CourseRow,Intro to Computer Science,5/14/2026,,,None,
CourseRow,Intro to Computer Science,5/15/2026,,,None,
CourseRow,Intro to Computer Science,5/18/2026,,,None,
CourseRow,Intro to Computer Science,5/19/2026,,,None,
CourseRow,Intro to Computer Science,5/20/2026,,,None,
CourseRow,Intro to Computer Science,5/21/2026,,,None,
CourseRow,Intro to Computer Science,5/22/2026,,No GCI (No School),None,
CourseRow,Intro to Computer Science,5/25/2026,,No GCI (No School - Memorial Day),Memorial Day (No School),
CourseRow,Intro to Computer Science,5/26/2026,,,None,
CourseRow,Intro to Computer Science,5/27/2026,,,None,
CourseRow,Intro to Computer Science,5/28/2026,,,None,
CourseRow,Intro to Computer Science,5/29/2026,,,Swartz Creek Community Schools,
CourseRow,Intro to Computer Science,6/1/2026,,,None,
CourseRow,Intro to Computer Science,6/2/2026,,,None,
CourseRow,Intro to Computer Science,6/3/2026,,,None,
CourseRow,Intro to Computer Science,6/4/2026,,,None,
CourseRow,Intro to Computer Science,6/5/2026,,,Davison Community Schools,
CourseRow,Intro to Computer Science,6/8/2026,,,None,
CourseRow,Intro to Computer Science,6/9/2026,,,None,
